Date,GC=F,GE,IBM,MSFT,WMT,XOM,^GSPC
2008-10-01,716.7999877929688,80.27664184570312,54.233890533447266,16.505611419677734,40.12920379638672,43.0399169921875,968.75
2008-11-01,816.2000122070312,70.64836883544922,47.60120391845703,14.945966720581055,40.179534912109375,46.541412353515625,896.239990234375
2008-12-01,883.5999755859375,66.65718841552734,49.369056701660156,14.466764450073242,40.30895233154297,46.622154235839844,903.25
2009-01-01,927.2999877929688,50.87043380737305,53.76274490356445,12.72538948059082,34.02739334106445,44.66569137573242,825.8800048828125
2009-02-01,,35.6889762878418,53.98564529418945,12.018424034118652,35.55833053588867,39.654823303222656,735.0900268554688
2009-03-01,,43.64485549926758,57.14580535888672,13.764223098754883,37.6236572265625,39.97203826904297,797.8699951171875
2009-04-01,890.7000122070312,54.61003494262695,60.873321533203125,15.180355072021484,36.601318359375,39.1326904296875,872.8099975585938
2009-05-01,978.7999877929688,58.1931266784668,62.683998107910156,15.652397155761719,36.122032165527344,40.70573425292969,919.1400146484375
2009-06-01,927.0999755859375,50.5952033996582,61.908653259277344,17.92343521118164,35.36763381958008,41.27931594848633,919.3200073242188
2009-07-01,953.7000122070312,58.32390594482422,69.91847229003906,17.734922409057617,36.419029235839844,41.56273651123047,987.47998046875
2009-08-01,951.7000122070312,60.50015640258789,69.98963165283203,18.58698081970215,37.1418571472168,40.830562591552734,1020.6199951171875
2009-09-01,1008.0,71.468505859375,71.24528503417969,19.50284194946289,36.038822174072266,40.75917053222656,1057.0799560546875
2009-10-01,1039.699951171875,62.434329986572266,71.84093475341797,21.0269775390625,36.47197341918945,42.57701873779297,1036.18994140625
2009-11-01,,70.14009857177734,75.25992584228516,22.30088996887207,40.047218322753906,44.59684371948242,1095.6300048828125
2009-12-01,1095.199951171875,66.24340057373047,78.3200454711914,23.214401245117188,39.239681243896484,40.74543380737305,1115.0999755859375
2010-01-01,1083.0,70.8605728149414,73.22835540771484,21.462661743164062,39.42279815673828,38.49872970581055,1073.8699951171875
2010-02-01,1118.300048828125,70.77239990234375,76.08235168457031,21.835861206054688,39.89500427246094,38.83932113647461,1104.489990234375
2010-03-01,1113.300048828125,80.7035140991211,77.07771301269531,22.412382125854492,41.023902893066406,40.283531188964844,1169.4300537109375
2010-04-01,1180.0999755859375,83.63011932373047,77.52845001220703,23.36887550354004,39.80081558227539,40.758644104003906,1186.68994140625
2010-05-01,1212.199951171875,72.50015258789062,75.28076934814453,19.741872787475586,37.51545715332031,36.36222457885742,1089.4100341796875
2010-06-01,1245.5,63.94198989868164,74.59137725830078,17.68644142150879,35.875099182128906,34.556480407714844,1030.7099609375
2010-07-01,1181.699951171875,71.93408203125,77.56342315673828,19.838645935058594,38.203575134277344,36.13686752319336,1101.5999755859375
2010-08-01,,64.61573791503906,74.37992095947266,18.040027618408203,37.419952392578125,35.79173278808594,1049.3299560546875
2010-09-01,1307.800048828125,72.51419830322266,81.4323501586914,18.924453735351562,40.175594329833984,37.682220458984375,1141.199951171875
2010-10-01,1357.0999755859375,72.0167465209961,87.17522430419922,20.609031677246094,40.66352081298828,40.5484733581543,1183.260009765625
2010-11-01,1385.0,71.16260528564453,85.87603759765625,19.519466400146484,40.60346984863281,42.42070007324219,1180.550048828125
2010-12-01,1421.0999755859375,82.22137451171875,89.48947143554688,21.69974136352539,40.483360290527344,44.87251663208008,1257.6400146484375
2011-01-01,1333.800048828125,91.25164031982422,98.78227996826172,21.559797286987305,42.32256317138672,49.511962890625,1286.1199951171875
2011-02-01,1409.300048828125,94.78565216064453,98.70914459228516,20.66568374633789,39.23537063598633,52.48832321166992,1327.219970703125
2011-03-01,1438.9000244140625,91.47249603271484,99.82843017578125,19.857152938842773,39.28820037841797,51.90126037597656,1325.8299560546875
2011-04-01,1556.0,93.29736328125,104.42594146728516,20.27165412902832,41.790687561035156,54.2763786315918,1363.6099853515625
2011-05-01,,89.60198211669922,103.41584014892578,19.55995750427246,41.973114013671875,51.494083404541016,1345.199951171875
2011-06-01,1502.300048828125,86.04345703125,105.48944854736328,20.46750259399414,40.65936279296875,50.48946762084961,1320.6400146484375
2011-07-01,1628.300048828125,82.38128662109375,111.82308197021484,21.569602966308594,40.33034133911133,49.503013610839844,1292.280029296875
2011-08-01,1828.5,75.02172088623047,105.71077728271484,20.939836502075195,40.697608947753906,45.923213958740234,1218.8900146484375
2011-09-01,1620.4000244140625,70.00799560546875,107.99922180175781,19.717370986938477,39.99785232543945,45.35840606689453,1131.4200439453125
2011-10-01,1724.199951171875,77.59874725341797,114.0269546508789,21.09576416015625,43.71248245239258,48.76824951171875,1253.300048828125
2011-11-01,1745.5,73.88370513916016,116.10823822021484,20.263980865478516,45.39255142211914,50.23585510253906,1246.9599609375
2011-12-01,1565.800048828125,83.17139434814453,114.020263671875,20.71985626220703,46.055328369140625,53.24916458129883,1257.5999755859375
2012-01-01,,87.72954559326172,119.42733764648438,23.569244384765625,47.58388900756836,52.60835266113281,1312.4100341796875
2012-02-01,1709.9000244140625,89.32379150390625,121.9883041381836,25.333139419555664,45.815765380859375,54.34228515625,1365.6800537109375
2012-03-01,1669.300048828125,94.93885040283203,129.8834686279297,25.917678833007812,47.459808349609375,54.78501892089844,1408.469970703125
2012-04-01,,92.62096405029297,128.90614318847656,25.724868774414062,45.989715576171875,54.53864288330078,1397.9100341796875
2012-05-01,1562.5999755859375,90.30307006835938,120.07914733886719,23.45124626159668,51.384193420410156,49.6684684753418,1310.3299560546875
2012-06-01,1603.5,98.58126831054688,122.25749206542969,24.73727035522461,54.798187255859375,54.42463302612305,1362.1600341796875
2012-07-01,,99.2696304321289,122.50753021240234,23.831546783447266,58.50011444091797,55.238739013671875,1379.3199462890625
2012-08-01,1684.5999755859375,99.07826232910156,121.80116271972656,24.923255920410156,57.061790466308594,55.52495193481445,1406.5799560546875
2012-09-01,1771.0999755859375,108.64642333984375,130.2311553955078,24.22549819946289,58.318668365478516,58.542442321777344,1440.6700439453125
2012-10-01,1717.5,101.52213287353516,122.12031555175781,23.232391357421875,59.28273010253906,58.36320877075195,1412.1600341796875
2012-11-01,1710.9000244140625,101.8595962524414,119.3204574584961,21.669443130493164,56.91206741333008,56.42353820800781,1416.1800537109375
2012-12-01,1674.800048828125,101.18470764160156,120.77582550048828,21.92137336730957,53.9171028137207,55.7525749206543,1426.18994140625
2013-01-01,1660.5999755859375,108.38343048095703,128.03939819335938,22.528711318969727,55.58302688598633,57.95561218261719,1498.1099853515625
2013-02-01,1577.699951171875,112.9561538696289,126.62702941894531,22.815959930419922,56.24253845214844,57.6850700378418,1514.6800537109375
2013-03-01,1594.800048828125,113.38999938964844,135.05567932128906,23.675138473510742,59.46073913574219,58.4166259765625,1569.18994140625
2013-04-01,1472.199951171875,109.3193359375,128.24276733398438,27.390666961669922,62.15559005737305,57.69056701660156,1597.5699462890625
2013-05-01,1392.5999755859375,114.37094116210938,131.71253967285156,28.880207061767578,59.85234832763672,58.650020599365234,1630.739990234375
2013-06-01,1223.800048828125,113.7332992553711,121.57273864746094,28.78272247314453,59.92976760864258,58.977420806884766,1606.280029296875
2013-07-01,1312.4000244140625,120.4750747680664,124.07280731201172,26.532766342163086,62.705413818359375,61.196834564208984,1685.72998046875
2013-08-01,1396.0999755859375,114.39443969726562,115.9493179321289,27.83274269104004,58.71490478515625,56.89507293701172,1632.969970703125
2013-09-01,,118.10215759277344,118.38936614990234,27.92816925048828,59.86467361450195,56.55217361450195,1681.550048828125
2013-10-01,1323.5999755859375,130.22047424316406,114.57259368896484,29.71562957763672,62.12297821044922,58.905242919921875,1756.5400390625
2013-11-01,1250.5999755859375,132.81092834472656,114.87306213378906,31.99822998046875,65.57111358642578,61.442317962646484,1805.81005859375
2013-12-01,,139.63580322265625,120.56130981445312,31.63210105895996,63.6932373046875,66.96910095214844,1848.3599853515625
2014-01-01,1240.0999755859375,126.2019271850586,113.56170654296875,31.995697021484375,60.79931640625,60.98688888549805,1782.5899658203125
2014-02-01,1321.4000244140625,127.90937042236328,119.0186996459961,32.39311218261719,60.81559753417969,63.7066764831543,1859.449951171875
2014-03-01,1283.4000244140625,131.15460205078125,124.40194702148438,34.9190788269043,62.224063873291016,65.09754943847656,1872.3399658203125
2014-04-01,1295.5999755859375,136.22044372558594,126.97410583496094,34.41645812988281,65.31309509277344,68.24980926513672,1883.949951171875
2014-05-01,1245.5999755859375,135.7138214111328,119.14766693115234,34.87648391723633,62.90409851074219,66.99690246582031,1923.5699462890625
2014-06-01,,133.13026428222656,117.832763671875,35.77452850341797,61.89194869995117,67.55240631103516,1960.22998046875
2014-07-01,1281.300048828125,128.45687866210938,124.59318542480469,37.02706527709961,60.66353988647461,66.38494110107422,1930.6700439453125
2014-08-01,1285.800048828125,132.69613647460938,125.00272369384766,38.9744987487793,62.246482849121094,66.73384094238281,2003.3699951171875
2014-09-01,1210.5,130.85743713378906,124.12686157226562,40.02076721191406,63.4615478515625,63.54354476928711,1972.2900390625
2014-10-01,1171.0999755859375,132.94119262695312,107.49861907958984,40.53008270263672,63.29557800292969,65.34073638916016,2018.050048828125
2014-11-01,1175.199951171875,136.44371032714844,106.04043579101562,41.27248764038086,72.6484146118164,61.17206954956055,2067.56005859375
2014-12-01,1183.9000244140625,130.15977478027344,105.62724304199219,40.35136795043945,71.27082061767578,62.913490295410156,2058.89990234375
2015-01-01,1278.5,124.21019744873047,100.93310546875,35.09568786621094,70.91790008544922,59.490509033203125,1994.989990234375
2015-02-01,,135.128662109375,106.61479949951172,38.092735290527344,70.04165649414062,60.25267791748047,2104.5
2015-03-01,,130.17929077148438,106.40797424316406,35.57292938232422,68.63963317871094,58.279048919677734,2067.889892578125
2015-04-01,1182.4000244140625,142.09011840820312,113.5615005493164,42.554534912109375,65.52588653564453,59.90401840209961,2085.510009765625
2015-05-01,1189.4000244140625,143.0870819091797,112.47425079345703,40.997230529785156,62.35239791870117,58.416168212890625,2107.389892578125
2015-06-01,1171.5,139.4141387939453,108.6561279296875,38.8773193359375,59.92418670654297,57.5167236328125,2063.110107421875
2015-07-01,1094.9000244140625,138.1128692626953,108.20857238769531,41.122772216796875,60.81126403808594,54.75841522216797,2103.840087890625
2015-08-01,1131.5999755859375,131.3395233154297,98.78982543945312,38.32255554199219,54.68620681762695,52.01393127441406,1972.1800537109375
2015-09-01,1115.5,133.4561767578125,97.64319610595703,39.23119354248047,55.15318298339844,51.879573822021484,1920.030029296875
2015-10-01,1141.5,154.40504455566406,94.34957885742188,46.659053802490234,48.68859100341797,57.73392105102539,2079.360107421875
2015-11-01,,159.85081481933594,93.90504455566406,48.174766540527344,50.0495491027832,56.98032760620117,2080.409912109375
2015-12-01,1060.300048828125,166.31109619140625,93.56216430664062,49.50784683227539,52.14204406738281,54.86573028564453,2043.93994140625
2016-01-01,1116.4000244140625,156.5281524658203,84.83955383300781,49.15983581542969,56.918907165527344,54.79533767700195,1940.239990234375
2016-02-01,1233.9000244140625,156.74331665039062,89.0818862915039,45.40301513671875,56.90175247192383,56.414207458496094,1932.22998046875
2016-03-01,1234.199951171875,172.366455078125,104.01631164550781,49.638614654541016,58.74585723876953,59.369483947753906,2059.739990234375
2016-04-01,1289.199951171875,166.72760009765625,100.23200988769531,44.82124710083008,57.780941009521484,62.785762786865234,2065.300048828125
2016-05-01,,163.9081268310547,105.58911895751953,47.634376525878906,61.15948486328125,63.22610855102539,2096.949951171875
2016-06-01,1318.4000244140625,170.6856689453125,105.24896240234375,46.311309814453125,63.557003021240234,67.13802337646484,2098.860107421875
2016-07-01,1349.0,170.12127685546875,111.37891387939453,51.29812240600586,63.513465881347656,63.70736312866211,2173.60009765625
2016-08-01,1306.9000244140625,170.6676025390625,110.1723403930664,52.004066467285156,62.1817741394043,62.41100311279297,2170.949951171875
